YEAR,WEEK,TOTAL SPECIMENS,A (H1),A (Unable to Subtype),A (H3),A (H1N1)pdm09,A (Subtyping not Performed),B,H3N2v,PERCENT POSITIVE
2014,40,9567,0,0,100,2,97,110,0,3.22985261837567
2014,41,11036,0,0,125,5,149,160,0,3.97789054005074
2014,42,11729,0,0,226,7,186,164,1,4.97911160371728
2014,43,11385,0,0,212,5,200,127,0,4.77821695213
2014,44,11525,0,0,295,4,292,135,0,6.29934924078091
2014,45,12918,0,0,506,6,489,155,0,8.94875367703979
2014,46,13776,0,0,632,8,629,147,0,10.2787456445993
2014,47,16166,0,0,1001,5,1233,163,0,14.8583446740072
2014,48,18504,0,0,1538,8,1878,200,0,19.5849546044099
2014,49,23064,0,0,2581,13,2483,249,0,23.0922650017343
2014,50,29214,0,0,3814,6,4047,315,0,28.007119874033
2014,51,37109,0,0,4972,4,6163,325,0,30.8927753375192
2014,52,42467,0,0,5498,10,7847,392,0,32.371017495938
2014,53,41580,0,0,5292,10,5695,409,0,27.4314574314574
2015,1,38494,0,0,4901,10,3955,372,0,23.9985452278277
2015,2,35593,0,0,4584,8,3580,473,0,24.2884836906133
2015,3,34191,0,0,3917,4,3513,548,0,23.3453247930742
2015,4,32001,0,0,3475,10,2789,606,0,21.4993281459954
2015,5,29578,0,0,2719,10,2170,723,0,19.0073703428224
2015,6,26987,0,0,1745,7,1575,869,0,15.5482269240746
2015,7,24292,0,0,1242,10,1108,1009,0,13.8687633788902
2015,8,22293,0,0,954,18,740,1127,0,12.7349392185888
2015,9,20420,0,0,774,5,558,1352,0,13.1684622918707
2015,10,19843,0,0,458,7,405,1654,0,12.7198508290077
2015,11,18418,0,0,340,2,302,1564,0,11.9882723422739
2015,12,16980,0,0,227,7,197,1479,0,11.2485276796231
2015,13,15123,0,0,168,4,119,1375,0,11.0163327382133
2015,14,14741,0,0,87,7,107,1271,0,9.98575401940167
2015,15,13389,0,0,66,13,79,969,0,8.41735753230264
2015,16,11872,0,0,48,2,40,683,0,6.51111859838275
2015,17,10769,0,0,26,4,36,543,0,5.65512118116817
2015,18,9784,0,0,12,2,19,494,0,5.386345053148
2015,19,9188,0,0,16,2,26,340,0,4.17936438833261
2015,20,8412,0,0,21,0,19,267,0,3.64954826438421
2015,21,7747,0,0,20,1,21,184,0,2.91725829353298
2015,22,6992,0,0,20,0,22,151,0,2.76029748283753
2015,23,6725,0,0,20,1,28,129,0,2.64684014869888
2015,24,6133,0,0,50,2,22,78,0,2.47839556497636
2015,25,5558,0,0,51,0,24,46,0,2.17704210147535
2015,26,5248,0,0,59,2,35,33,0,2.45807926829268
2015,27,5260,0,0,40,4,18,36,1,1.88212927756654
2015,28,5039,0,0,35,3,11,37,0,1.70668783488787
2015,29,4815,0,0,33,3,19,22,0,1.59916926272066
2015,30,4786,0,0,44,0,20,9,0,1.52528207271208
2015,31,4790,0,0,50,4,21,18,0,1.94154488517745
2015,32,4872,0,0,34,3,30,14,0,1.66256157635468
2015,33,5165,0,0,55,2,25,16,0,1.8973862536302
2015,34,5373,0,0,44,3,33,20,0,1.86115764005211
2015,35,6097,0,0,63,3,42,28,0,2.23060521567984
2015,36,6766,0,0,74,1,35,37,0,2.17262784510789
2015,37,7563,0,0,86,4,56,42,0,2.48578606373132
2015,38,8669,0,0,43,1,59,36,0,1.60341446533626
2015,39,9675,0,0,54,7,59,48,0,1.73643410852713
